Taso 1,Fyysinen selviytyjä,keskittyy kroppaan,,Älyllinen selviytyjä,haastaa mieltään,,Eettinen selviytyjä,syventyy mietiskelemään,,Tunteellinen selviytyjä,ilmaisee itseään,,Sosiaalinen selviytyjä,tukee ja tukeutuu ryhmään,,Luova selviytyjä,ei kangistu rutiineihin,
Taso 2,Lepään,Syön ,Liikun,pyrin ymmärtämään syitä,"Asetan itselleni tavoitteita, ja teen suunnitelmia.","Ratkaisen pulmia, teen jotain keskittymistä vaativaa",Hiljennyn/mietiskelen/rukoilen,pohdin arvojani,mietin motiiveja,ilmaisen itseäni ja tunteitani,uskallan heittäytyä,omistaudun täysillä,otan vastaan tukea ja tuen myös muita,Jaan kokemuksia muiden kanssa,Vietän aikaa muiden kanssa,"käytän mielikuvitustani, luon uutta (musiikki, kirjoittaminen, tanssi...)",motivoin itseäni,"etsin uusia tapoja toimia, en kangistu rutiineihin"
Taso 3,rentouden sopivan tilaisuuden tullen,suunnittelen ruokailuni hyvissä ajoin,lähden ulos kävelylle kun ahdistaa,haen asioille selityksiä,"priorisoin, laitan asioita tärkeysjärjestykseen",tykkään oppia uusia asioita,"mietin, millainen haluan olla tulevaisuudessa",mietin minkälaisia asioita arvostan,"teen niin, kuin itsestäni tuntuu hyvälle ja mietin miksi näin.","hymyilen, kun olen iloinen",en pelkää aloittaa uusia haasteita,otan itseäni niskasta kiinni ja teen epämukavatkin asiat,menen juttelemaan alakuloisen henkilön kanssa,soitan kotijoukoille,vietän kavereiden kanssa aikaa mahdollisuuden tullen,kehitän jotain uutta,pohdin tulevia positiivisia asioita,ajattelen kaksi askelta ennakkoon
,ennen tärkeää päivää menen aikaisin nukkumaan,panostan ruoan laatuun,puran ärsyyntymistäni fyysisillä aktiviteeteilla,"pohdin, minkä takia jokin asia tapahtui",pidän suunnittelemisesta,aloitan oma-aloitteisesti uusia harrastuksia,pohdin asioita arvojeni kautta,mietin mitä haluan elämältäni,mietin vallanpitäjien legitimiteettiä,AVAUDUN KUN ÄRSYTTÄÄ!,"teen asioita, jotka ovat jännittäviä tai pelottavia","jos menestyisin harrastuksessani, olisin valmis jättämään koulut kesken",pyrin huomioimaan muut tarpeineen,kyselen kuulumisia,haluan olla porukassa,unohdan epämiellyttävän tilanteen,fiilistelen (tulevaa tai mennyttä) lomaa,en halua seurata rutiineja
,haen mukavaa olotilaa,panostan ruoan terveellisyyteen,treenaan kovaa kun kyrsii,haluan tietää asioista enemmän,suunnittelen kunnianhimoisia projekteja tulevaisuudelle,pyrin aina järkevimpään ratkaisuun paineen alla,rauhoitun ja mietin maailmaa,"mietin mikä on oikein, mikä väärin","minusta lottoamisessa parasta on unelmointi, mitä tekisin jos voittaisin",omankädenoikeuden harjoittaminen on minusta oikein,ryhmätyössä esittelen ryhmän tuotoksen,"mielenkiintoinen työtehtäväni vaatii muuttamista uudelle paikkakunnalle. Muutan, jos työni on minulle tärkeä.",haluan saada ja antaa kritiikkiä,naureskelen kavereiden kanssa yhdessä koetuille vaikeuksille,viihdyn ryhmissä paremmin kuin seurassa,soitan tai laulan kun harmittaa,"ajattelen, että asiat voisivat olla huonomminkin",
,lievitän fyysistä rasitusta nukkumalla,herkuttelen,pidän huolta hygieniastani,punnitsen vaihtoehtoja pitkään ennen päätösten tekemistä,,pidän aivopähkinöistä,käyn läpi oman elämäni tulevaisuutta ja tämänhetkistä tilaa,,"jaksan tehdä tylsiäkin asioita, koska uskon siitä olevan minulle hyötyä tulevaisuudessa","itken, koska se helpottaa oloani",uskallan esiintyä,"jos aloitan uuden projektin, en pysty keskittymään mihinkään muuhun",jaan työtehtäviä kavereideni kanssa,puhun kavereilleni ongelmistani,,kuuntelen musiikkia,tykkään unelmoida tulevaisuudesta,
,"Jos minulla on kiire, nipistän ensimmäisenä yöunista -",juon usein alkoholia yksin,"kun ärsyttää, pidän itseni liikkeessä ja toiminnassa",,,,olen mietiskelijätyyppiä,,"lähden ulos vain, jos kaverini kysyvät minua (en tee koskaan aloitetta itse).",keskustelen tunteistani muiden ihmisten kanssa,minut on helppo taivutella juomaan lisää,en luovuta ikinä,"Olen hyvä tunnistamaan, miltä toisista tuntuu.",kerron muille fiiliksistäni,,kirjoitan,,
,,juon usein alkoholia kavereiden kanssa,huollan itseäni esim suihkulla ja hampaiden pesulla,,,,,,"yritän ymmärtää ihmisiä, vaikka he toimisivat minua kohtaan ikävästi","pystyn kertomaan kavereilleni, jos he ärsyttävät minua","voisin kokeilla minulle uutta ruokavaliota kuukauden ajan (esim vegaani, karppaus, lihadieetti)","teen vain sitä, mikä minua kiinnostaa, enkä käytä aikaani mihinkään muuhun",En pelkää pyytää apua.,,,piirrän läpi vaikeiden aikojen,,
,,,treenaan erittäin kovaa kun kyrsii,,,,,,"osaan motivoida itseäni, kun kohtaan vastoinkäymisiä","olen viimeisen puolen vuoden aikana sanonut ihmiselle, että olen huolissani hänestä",voisin olla yrittäjä,,"Huomaan, että kaverini on vaikeuksissa. Tarjoan apua pyytämättä.",,,,,
,,,haluan rääkätä itseni puhki,,,,,,"en käytä rahaa hetken mielitekoihin, vaan säästän suurempaan hankintaan (esim risteily vs talo)","on hankalaa kertoa läheisilleni, kuinka tärkeitä he ovat minulle -",uskallan kokeilla uusia asentoja,,Vapaaehtoisia pyydettäessä ilmoittaudun usein.,,,,,
